,barley,cabbage,common_bean,cowpea,crimson_clover,fava_bean,lentil,lettuce,lupine,maize,oat,onion,pea,pepper,radish,sorghum,soybean,sunflower,tomato,wheat
barley,1.0,0.0,0.0,0.0,0.0,0.044721359549995794,0.044721359549995794,0.0,0.07071067811865477,0.044721359549995794,0.0,0.0,0.13784048752090222,0.0,0.0,0.0,0.0,0.0,0.1,0.044721359549995794
cabbage,0.0,1.0,0.4655246924031467,0.0,0.1,0.2023152752507925,0.0670820393249937,0.534944255425542,0.1,0.1108075053638043,0.0,0.47693624284355446,0.17809236057467834,0.11761766127159168,0.34784023408995496,0.0,0.0,0.0,0.11473887760570518,0.1
common_bean,0.0,0.4655246924031467,1.0,0.0,0.0,0.0,0.0,0.2004151420583179,0.0,0.5690381884459644,0.0,0.08944271909999159,0.0,0.14717577279678076,0.08698248295822346,0.0,0.1,0.1,0.22066907013314807,0.0632455532033676
cowpea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7664074482427274,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.044721359549995794,0.24345932129266337,0.0
crimson_clover,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.022360679774997897
fava_bean,0.044721359549995794,0.2023152752507925,0.0,0.0,0.0,1.0,0.07071067811865477,0.14589222328711782,0.0,0.05916079783099616,0.15,0.0,0.14171416198927683,0.0,0.0,0.0,0.0,0.0,0.0,0.15
lentil,0.044721359549995794,0.0670820393249937,0.0,0.0,0.0,0.07071067811865477,1.0,0.0,0.0,0.0632455532033676,0.05477225575051661,0.1,0.0,0.0,0.05,0.0,0.044721359549995794,0.0,0.0,0.07745966692414835
lettuce,0.0,0.534944255425542,0.2004151420583179,0.0,0.0,0.14589222328711782,0.0,1.0,0.1,0.0,0.0,0.1,0.15633889063071385,0.0,0.1669143659377574,0.0,0.0,0.0,0.6126626764320842,0.0
lupine,0.07071067811865477,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0632455532033676,0.0,0.0,0.044721359549995794,0.0,0.0,0.0,0.0,0.0,0.1,0.07745966692414835
maize,0.044721359549995794,0.1108075053638043,0.5690381884459644,0.7664074482427274,0.1,0.05916079783099616,0.0632455532033676,0.0,0.0632455532033676,1.0,0.0,0.0,0.5308192365482558,0.0806593626287244,0.08557025157019181,0.0632455532033676,0.1,0.1,0.15502223532086598,0.044721359549995794
oat,0.0,0.0,0.0,0.0,0.0,0.15,0.05477225575051661,0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.044721359549995794,0.0,0.05477225575051661
onion,0.0,0.47693624284355446,0.08944271909999159,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.6125952611864364,0.0,0.0,0.0,0.0,0.1,0.0
pea,0.13784048752090222,0.17809236057467834,0.0,0.0,0.0,0.14171416198927683,0.0,0.15633889063071385,0.044721359549995794,0.5308192365482558,0.15,0.1,1.0,0.13647995423885179,0.0950493157158998,0.0,0.0,0.0,0.1,0.15
pepper,0.0,0.11761766127159168,0.14717577279678076,0.0,0.1,0.0,0.0,0.0,0.0,0.0806593626287244,0.0,0.6125952611864364,0.13647995423885179,1.0,0.05181291628320297,0.0,0.0,0.1,0.1,0.0
radish,0.0,0.34784023408995496,0.08698248295822346,0.0,0.0,0.0,0.05,0.1669143659377574,0.0,0.08557025157019181,0.0,0.0,0.0950493157158998,0.05181291628320297,1.0,0.0,0.0,0.0,0.0,0.0
sorghum,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0632455532033676,0.0,0.0,0.0,0.0,0.0,1.0,0.1341640786499874,0.0,0.0,0.0
soybean,0.0,0.0,0.1,0.0,0.0,0.0,0.044721359549995794,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1341640786499874,1.0,0.1,0.0,0.0
sunflower,0.0,0.0,0.1,0.044721359549995794,0.0,0.0,0.0,0.0,0.0,0.1,0.044721359549995794,0.0,0.0,0.1,0.0,0.0,0.1,1.0,0.1,0.0
tomato,0.1,0.11473887760570518,0.22066907013314807,0.24345932129266337,0.0,0.0,0.0,0.6126626764320842,0.1,0.15502223532086598,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1.0,0.23750243489796918
wheat,0.044721359549995794,0.1,0.0632455532033676,0.0,0.022360679774997897,0.15,0.07745966692414835,0.0,0.07745966692414835,0.044721359549995794,0.05477225575051661,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.23750243489796918,1.0
