,barley,cabbage,common_bean,cowpea,crimson_clover,fava_bean,lentil,lettuce,lupine,maize,oat,onion,pea,pepper,radish,sorghum,soybean,sunflower,tomato,wheat
barley,0.0,0.64,0.61,0.58,0.6174999999999999,0.55,0.625,0.7375,0.5349999999999999,0.255,0.014999999999999996,0.7150000000000001,0.565,0.5725,0.5275000000000001,0.18,0.49,0.5650000000000001,0.44499999999999995,0.0
cabbage,0.64,0.0,0.43,0.46,0.4375,0.52,0.415,0.0975,0.505,0.895,0.625,0.075,0.47500000000000003,0.06749999999999999,0.5125,0.8200000000000001,0.55,0.8049999999999999,0.225,0.64
common_bean,0.61,0.43,0.0,0.03000000000000001,0.40750000000000003,0.09,0.015000000000000013,0.5275000000000001,0.07500000000000001,0.865,0.595,0.505,0.045000000000000005,0.4375,0.48250000000000004,0.79,0.12,0.775,0.595,0.61
cowpea,0.58,0.46,0.03000000000000001,0.0,0.43750000000000006,0.09000000000000001,0.045000000000000026,0.5575,0.045000000000000005,0.835,0.565,0.535,0.014999999999999996,0.43750000000000006,0.4675,0.76,0.08999999999999997,0.745,0.5650000000000001,0.58
crimson_clover,0.6174999999999999,0.4375,0.40750000000000003,0.43750000000000006,0.0,0.49750000000000005,0.42250000000000004,0.52,0.48250000000000004,0.8725,0.6025,0.4975,0.4525,0.445,0.09,0.7975,0.5275000000000001,0.7825,0.6025,0.6174999999999999
fava_bean,0.55,0.52,0.09,0.09000000000000001,0.49750000000000005,0.0,0.10500000000000001,0.6174999999999999,0.045000000000000005,0.775,0.565,0.595,0.07500000000000001,0.4525,0.5575,0.7,0.12,0.685,0.505,0.55
lentil,0.625,0.415,0.015000000000000013,0.045000000000000026,0.42250000000000004,0.10500000000000001,0.0,0.5125,0.09000000000000002,0.88,0.61,0.49,0.06000000000000002,0.4525,0.49750000000000005,0.805,0.135,0.79,0.6100000000000001,0.625
lettuce,0.7375,0.0975,0.5275000000000001,0.5575,0.52,0.6174999999999999,0.5125,0.0,0.6025,0.9925,0.7224999999999999,0.022499999999999992,0.5725,0.16499999999999998,0.61,0.8875,0.6475,0.9025,0.3225,0.7375
lupine,0.5349999999999999,0.505,0.07500000000000001,0.045000000000000005,0.48250000000000004,0.045000000000000005,0.09000000000000002,0.6025,0.0,0.79,0.52,0.5800000000000001,0.03000000000000001,0.43750000000000006,0.5125,0.7150000000000001,0.075,0.7,0.52,0.5349999999999999
maize,0.255,0.895,0.865,0.835,0.8725,0.775,0.88,0.9925,0.79,0.0,0.27,0.9700000000000001,0.82,0.8275,0.7825,0.13500000000000006,0.745,0.49000000000000005,0.6699999999999999,0.255
oat,0.014999999999999996,0.625,0.595,0.565,0.6025,0.565,0.61,0.7224999999999999,0.52,0.27,0.0,0.7,0.55,0.5575,0.5125,0.195,0.47500000000000003,0.5800000000000001,0.45999999999999996,0.014999999999999996
onion,0.7150000000000001,0.075,0.505,0.535,0.4975,0.595,0.49,0.022499999999999992,0.5800000000000001,0.9700000000000001,0.7,0.0,0.55,0.14250000000000002,0.5875,0.88,0.625,0.88,0.30000000000000004,0.7150000000000001
pea,0.565,0.47500000000000003,0.045000000000000005,0.014999999999999996,0.4525,0.07500000000000001,0.06000000000000002,0.5725,0.03000000000000001,0.82,0.55,0.55,0.0,0.42250000000000004,0.4825,0.745,0.07499999999999998,0.73,0.55,0.565
pepper,0.5725,0.06749999999999999,0.4375,0.43750000000000006,0.445,0.4525,0.4525,0.16499999999999998,0.43750000000000006,0.8275,0.5575,0.14250000000000002,0.42250000000000004,0.0,0.505,0.7525,0.48250000000000004,0.7375,0.15750000000000003,0.5725
radish,0.5275000000000001,0.5125,0.48250000000000004,0.4675,0.09,0.5575,0.49750000000000005,0.61,0.5125,0.7825,0.5125,0.5875,0.4825,0.505,0.0,0.7075,0.4375,0.6925,0.5125000000000001,0.5275000000000001
sorghum,0.18,0.8200000000000001,0.79,0.76,0.7975,0.7,0.805,0.8875,0.7150000000000001,0.13500000000000006,0.195,0.88,0.745,0.7525,0.7075,0.0,0.67,0.5650000000000001,0.595,0.18
soybean,0.49,0.55,0.12,0.08999999999999997,0.5275000000000001,0.12,0.135,0.6475,0.075,0.745,0.47500000000000003,0.625,0.07499999999999998,0.48250000000000004,0.4375,0.67,0.0,0.655,0.4750000000000001,0.49
sunflower,0.5650000000000001,0.8049999999999999,0.775,0.745,0.7825,0.685,0.79,0.9025,0.7,0.49000000000000005,0.5800000000000001,0.88,0.73,0.7375,0.6925,0.5650000000000001,0.655,0.0,0.58,0.5650000000000001
tomato,0.44499999999999995,0.225,0.595,0.5650000000000001,0.6025,0.505,0.6100000000000001,0.3225,0.52,0.6699999999999999,0.45999999999999996,0.30000000000000004,0.55,0.15750000000000003,0.5125000000000001,0.595,0.4750000000000001,0.58,0.0,0.44499999999999995
wheat,0.0,0.64,0.61,0.58,0.6174999999999999,0.55,0.625,0.7375,0.5349999999999999,0.255,0.014999999999999996,0.7150000000000001,0.565,0.5725,0.5275000000000001,0.18,0.49,0.5650000000000001,0.44499999999999995,0.0
