,barley,cabbage,common_bean,cowpea,crimson_clover,fava_bean,lentil,lettuce,lupine,maize,oat,onion,pea,pepper,radish,sorghum,soybean,sunflower,tomato,wheat
barley,0.0,-0.05,-0.05,-0.05,-0.05,-0.01,-0.01,-0.05,-0.01,-0.01,-0.05,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.1,-0.01
cabbage,-0.05,0.0,0.16985832214059818,-0.05,0.1,0.09913448487288831,-0.01,0.1944745261911606,0.1,0.011634788063199451,-0.05,0.04451404933206505,0.02404246867758158,-0.01617242842484385,0.11043927432356074,-0.05,-0.05,-0.05,0.030214571102835708,0.1
common_bean,-0.05,0.16985832214059818,0.0,-0.05,-0.05,-0.05,-0.05,0.10037458364754086,-0.05,0.5435090350446821,-0.05,0.03810259833659641,-0.05,0.301092298589837,0.018266321421226923,-0.05,0.0,-0.1,0.037230024546749715,-0.01
cowpea,-0.05,-0.05,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,0.25054224438982486,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01,-0.05,-0.01,0.011625182591724665,-0.05
crimson_clover,-0.05,0.1,-0.05,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,0.1,-0.05,-0.05,-0.05,0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01
fava_bean,-0.01,0.09913448487288831,-0.05,-0.05,-0.05,0.0,-0.01,0.043038205869699746,-0.05,-0.01,-0.01,-0.05,0.04676567345646136,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01
lentil,-0.01,-0.01,-0.05,-0.05,-0.05,-0.01,0.0,-0.05,-0.05,-0.01,-0.01,-0.1,-0.05,-0.05,-0.01,-0.05,-0.01,-0.05,-0.05,-0.01
lettuce,-0.05,0.1944745261911606,0.10037458364754086,-0.05,-0.05,0.043038205869699746,-0.05,0.0,0.1,-0.05,-0.05,0.1,0.0228645627547419,-0.05,0.1065152103777089,-0.05,-0.05,-0.05,0.40501485809793186,-0.05
lupine,-0.01,0.1,-0.05,-0.05,-0.05,-0.05,-0.05,0.1,0.0,-0.01,-0.05,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.01
maize,-0.01,0.011634788063199451,0.5435090350446821,0.25054224438982486,0.1,-0.01,-0.01,-0.05,-0.01,0.0,-0.05,-0.05,0.4161909743855379,0.034844844655608935,0.0344848113827873,-0.01,0.1,0.1,0.023970313136488904,-0.01
oat,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01,-0.01,-0.05,-0.05,-0.05,0.0,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.01,-0.05,-0.01
onion,-0.05,0.04451404933206505,0.03810259833659641,-0.05,-0.05,-0.05,-0.1,0.1,-0.05,-0.05,-0.05,0.0,-0.1,0.06068917880650457,-0.05,-0.05,-0.05,-0.05,0.1,-0.05
pea,-0.01,0.02404246867758158,-0.05,-0.05,-0.05,0.04676567345646136,-0.05,0.0228645627547419,-0.01,0.4161909743855379,-0.01,-0.1,0.0,0.0005004264988757954,0.043485061940024154,-0.05,-0.05,-0.05,-0.1,-0.01
pepper,-0.05,-0.01617242842484385,0.301092298589837,-0.05,0.1,-0.05,-0.05,-0.05,-0.05,0.034844844655608935,-0.05,0.06068917880650457,0.0005004264988757954,0.0,0.03575091223541005,-0.05,-0.05,0.1,0.03333333333333333,-0.05
radish,-0.05,0.11043927432356074,0.018266321421226923,-0.05,-0.05,-0.05,-0.01,0.1065152103777089,-0.05,0.0344848113827873,-0.05,-0.05,0.043485061940024154,0.03575091223541005,0.0,-0.05,-0.05,-0.05,-0.05,-0.05
sorghum,-0.05,-0.05,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,-0.01,-0.05,-0.05,-0.05
soybean,-0.05,-0.05,0.0,-0.05,-0.05,-0.05,-0.01,-0.05,-0.05,0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01,0.0,0.1,-0.05,-0.05
sunflower,-0.05,-0.05,-0.1,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.1,-0.01,-0.05,-0.05,0.1,-0.05,-0.05,0.1,0.0,0.1,-0.05
tomato,0.1,0.030214571102835708,0.037230024546749715,0.011625182591724665,-0.05,-0.05,-0.05,0.40501485809793186,-0.1,0.023970313136488904,-0.05,0.1,-0.1,0.03333333333333333,-0.05,-0.05,-0.05,0.1,0.0,0.13748752064649108
wheat,-0.01,0.1,-0.01,-0.05,-0.01,-0.01,-0.01,-0.05,-0.01,-0.01,-0.01,-0.05,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.13748752064649108,0.0
