species_a,species_b,ler_mean,ler_std,ler_median,n_obs,n_articles,pct_above_1
common_bean,maize,1.953306818181818,0.7573512996218871,1.74,176,18,0.9375
cowpea,maize,1.3269047619047618,0.30478898958102507,1.3,84,16,0.8452380952380952
lettuce,tomato,1.6610731707317072,0.32199707997464067,1.76,41,4,1.0
maize,pea,1.7840540540540542,0.6205752683306544,1.42,37,6,1.0
onion,pepper,1.0990689655172414,0.2431981747808745,1.165,29,5,0.7586206896551724
cabbage,lettuce,1.3635416666666667,0.2951262042741637,1.3385,24,6,0.8333333333333334
tomato,wheat,1.578888888888889,0.12979118473142512,1.59,18,1,1.0
cabbage,onion,1.0933333333333333,0.1252160485861513,1.08,18,4,0.8333333333333334
cabbage,common_bean,1.364875,0.21515664835959256,1.2795,16,5,1.0
common_bean,pepper,2.9234166666666668,0.4886215226780768,2.9085,12,1,1.0
cowpea,tomato,1.04775,0.2726506672715773,1.034,12,2,0.6666666666666666
cabbage,fava_bean,1.49,0.5314645288770883,1.3,12,2,1.0
cabbage,radish,1.3175000000000001,0.2856867943123106,1.18,10,5,1.0
lettuce,pea,1.14625,0.1442158600352759,1.185,8,1,0.875
maize,tomato,1.154625,0.15393406519861488,1.1280000000000001,8,1,0.875
fava_bean,lettuce,1.295,0.22614786566062733,1.2850000000000001,8,1,0.875
fava_bean,pea,1.33,0.26229754097207997,1.375,8,1,0.875
lettuce,radish,1.6381428571428571,0.4177520909867592,1.525,7,2,1.0
common_bean,tomato,1.1687142857142858,0.07238948884498424,1.184,7,2,1.0
pea,pepper,1.0036666666666667,0.13510687127850557,0.998,6,1,0.5
common_bean,lettuce,1.5008333333333332,0.093175998340059,1.4625,6,2,1.0
cabbage,pepper,0.8625,0.07544313531837518,0.895,4,1,0.0
cabbage,maize,1.105,0.14153915830374747,1.15,4,1,0.75
pea,radish,1.4575,0.33079449814046186,1.4300000000000002,4,1,1.0
cabbage,pea,1.135,0.06538348415311003,1.105,3,3,1.0
cabbage,tomato,1.2633333333333334,0.35019042438840803,1.25,3,2,0.6666666666666666
maize,pepper,1.432,0.10889444430272825,1.432,2,1,1.0
maize,radish,1.403,0.04525483399593908,1.403,2,1,1.0
common_bean,onion,1.426,0.0,1.426,2,1,1.0
common_bean,radish,1.21,0.028284271247461926,1.21,2,1,1.0
pepper,radish,1.69,0.22065225701010993,1.69,1,1,1.0
